text_index,subject,predicate,object
2,Город,сохранял,"усадебную структуру, как Москва, или сохранивший хотя бы паритет двух типов застройки"
2,«Архнадзор»,работает,больше 17 лет
2,небоскребы,наступают,на центр города
2,критика,замеряют,приемлемо
2,В Москве,работаем,координационный совет градозащитных организаций России
2,координационный совет,входят,"как некоторые активные отделения ВООПИК, так и организации вне ВООПИКа"
2,было время,придумывали,"названия, аналогичные нашему — «Архистраж», «Архзащита», Архдозор"
2,централизованный совет ВООПИК,проводит,проект «Консервация»
2,"перекрытие кровли, поддержание памятников до лучших времен",являются,более простыми работами
2,Шуховская башня,хотят,"разобрать, чтобы собрать заново из новых материалов"
2,Для нас,это повтор,истории 2014 г.
2,Тогда за башню вступились все,вступились,за башню
2,Оказалось,было,что все не так плохо
2,Я,надеюсь,успех альтернативной экспертизы
2,добрая воля,нужна,для этого
2,добрая воля,нужна,для этого
2,мы не одни,поднимается,вся Москва
2,сохранить Электрозавод можно,можно,если сохранится интерес «широкой общественности»
2,сохранить Электрозавод можно,можно,если сохранится интерес «широкой общественности»
3,8 июля в Барселоне,был зафиксирован,температурный рекорд
3,температурный рекорд,поднялись,"до +40,7 градуса"
3,Рекордная жара,охватила,Западную Европу
3,Метеорологи,ожидают,сегодня и завтра станут самыми жаркими дни
3,Национальный энергосистемный оператор,предупредил,о возможных перебоях с электроснабжением
3,служба скорой помощи юго-запада Англии,призвала,проверять пожилых родственников и соседей
4,88% семей в России,объединяют,финансы
4,большинство,выбирает,смешанную модель
4,88% семей,объединяют,бюджет
4,80% россиян,знают,возможности семейного банкинга
4,регулярные переводы между близкими,являются,самыми популярными инструментами
4,87% родителей,обсуждают,дети
5,Копенгаген,признан,самым комфортным городом мира
5,Столица Дании,набрала,98 баллов из 100
5,Все города первой десятки,имеют,максимальные баллы за образование
5,Категория стабильности,снизилась,"в среднем на 0,5 пункта"
5,Культура и окружающая среда,ухудшились,в Европе
5,Причина,была,многолетние государственные инвестиции в здравоохранение
5,Другой заметный подъем,поднялся,на три строчки
5,Лиссабон,улучшил показатель,благодаря прогрессу в здравоохранении
5,Токио,улучшил показатель,за счет культуры и окружающей среды
5,Дамаск,улучшил медицинские показатели,после свержения режима Асада в декабре 2024 г.
5,Каракас,покинул «красную зону»,при участии США
5,Индекс EIU,для оценки,"качества жизни, сравнения городов и использования для расчета надбавок за сложные условия при международных переездах"
5,Город»,писал со ссылкой на данные,рейтинг самых дорогих городов для состоятельных людей
5,Сингапур,возглавил,рейтинг самых дорогих городов для состоятельных людей
5,"Цюрих, Монако, Гонконг и Лондон",вошли в пятерку,рейтинг самых дорогих городов для состоятельных людей
6,Большинство россиян (58%),считают,квартиру
6,для новобрачных,считают,квартиру
6,25% опрошенных,считают,стабильный доход
6,Константин Денисов,подтверждает,тренд на практичность
6,88% российских семей,объединяют,финансы
6,большинство (48%),выбирает,смешанную модель с общим бюджетом на совместные цели и личными деньгами у каждого
7,Бонни Тайлер,умерла,9 июля в возрасте 75 лет
7,агентство Reuters,сообщило,заявление семьи артистки
7,Тайлер,провела,в больнице в Португалии
7,Тайлер,вспоминала,что нарушила этот запрет
7,Голос Тайлер,изменен,навсегда
7,Тайлер,выросла,в маленьком городе Скуэн в Южном Уэльсе в семье шахтера
7,Тогда певица,купила,газету
7,песня Lost in France,пришел,в 1977 г.
7,сингл,вошел,в первую пятерку британского чарта
7,на смену мягкому кантре-попу,приходили,более масштабные студийные постановки
7,песне,требовался,запоминающийся визуальный образ
7,новый звук Переломной,оказался,встреча с американским композитором и продюсером Джимом Стайнманом
7,Тайлер,вспоминала,песню
7,Стайнман,говорил,журналу People
7,Режиссер Рассел Малкэхи,превратил,песню в полноценный визуальный спектакль
7,Песня,возглавила,чарты
7,Песня,получила,номинацию на премию «Грэмми»
7,Песня,сталась,одной из самых продаваемых записей десятилетия
7,интерес к певице,ослабевал,в Великобритании
7,Тайлер,записывала,альбомы с немецким продюсером Дитером Боленом
7,Тайлер,появлялась,в европейских телевизионных шоу
7,Гораздо важнее для нее,было продолжать,выходить на сцену и ездить с концертами
7,Тогда же артистка,справедливо заметила,что Total Eclipse of the Heart живет собственной жизнью
7,По словам Тайлер,песня превратилась в,"культурный символ, который узнают даже те, кто не сразу вспоминает ее имя"
8,специалисты,приняли,десять ослабленных детенышей серого тюленя
8,семеро подопечных,были выпущены,ранее
8,семья,не стала,приближаться к животному и пытаться помочь самостоятельно
8,он,встречается,редко
8,тюленятам,помогают,набрать вес
8,специалисты,убеждаются,что животное уверенно плавает
9,принцесса Диана,проводила,воскресные обеды в особняке Ормли-Лодж
9,в поместье,состоялась,знакомство с Камиллой Паркер-Боулз
9,леди Аннабель Голдсмит,приобрела,особняк Ормли-Лодж
9,В разные годы,проходили,летние вечеринки
9,Леди Голдсмит,называла себя,материнской фигурой
9,дом,есть,"парадные залы, библиотека, винный погреб и отдельная гостевая квартира"
9,Продажу,курируют,агентства Knight Frank и UK Sotheby's International Realty
9,6 июля «Ведомости. Город»,сообщал,о продаже усадьбы
10,Ахмед Тигани,высказался,"о том, что здание стабильно"
10,Департамент строительства города,предупредил,"о том, что напряженная обстановка в районе может сохраниться"
10,Джон Эспозито,подтвердил,"о том, что с момента прибытия служб фиксируется «постоянное движение» конструкций"
10,все строители,были эвакуированы,с объекта
10,девять соседних зданий,были эвакуированы,с объекта
10,частная школа с 400 детьми,была эвакуирована,с объекта
10,стройные записи,показывают,здание
10,здание,получало,штрафы
10,штрафы,были,на сумму более $32 500 в 2025 г. за нарушения техники безопасности
11,В Объединенных Арабских Эмиратах (ОАЭ),сложилась,парадоксальная ситуация
11,спрос на электромобили и гибриды,вырос,на 15–20%
11,число запросов на доступные китайские модели,увеличилось,более чем на 30%
11,В результате очереди на популярные модели,растянулись,от трех до пяти месяцев
11,у одного из крупных дилеров,стало,в наличии осталось всего несколько электромобилей
11,по его оценкам,обходится,на 60–70% дешевле
11,стоимость электрокаров,остается,высокой
11,дефицит,формирует,ценовую политику
11,глобальные продажи,выросли,"до 20,7 млн штук"
12,34-летний местный житель,задержан,в Петроградском районе Санкт-Петербурга
12,деревянный памятник архитектуры,выгорел,днем 6 июля
12,мужчина,проник,в здание
12,"Дом Ропса, построенный в 1910-х гг.",был,одним из немногих сохранившихся деревянных памятников в центре города
12,его,включили,в перечень выявленных объектов культурного наследия
12,10 деревянных особняках Москвы,писал,"о 10 деревянных особняках Москвы, которые сохранились"
13,местный совет округа Далваллину,выставил на продажу,здание
13,здание,включает,"бывшую кухню, один большой зал для собраний и уличный туалет"
13,подключения к центральной канализации,нет,нет
13,запрашиваемая цена,составляет,чуть более $21 за квадратный метр
13,в самом Бантине,проживает,51 человек
13,городок,обслуживает,окрестные овцеводческие и зерновые фермы
14,площадка,работала,как городской музыкальный фестиваль
14,диджей Артур Кулаков,играл,для гостей
14,музыкальные коллективы Diasonics и «Лензвук»,выступали,в течение дня 4 июля
15,Иэн Карр,рассказал,"что его родители купили это жилье у местного землевладельца Джимми Шенкса, будучи еще 20-летними"
15,Семейных фотографий,не сохранилось,того времени
15,Семья Карров,владела,недвижимостью
15,Электричество,было подключено,в
15,Город,сообщал,пляжную хижину без воды и электричества в Уэльсе выставили на продажу за 200 000 фунтов (около $385 000)
15,пляжную хижину без воды и электричества в Уэльсе,выставили на продажу,за 200 000 фунтов (около $385 000)
16,Синоптики,предупреждают,улучшения погоды
16,Столица,оказалась,на стыке двух мощных циклонов
16,Местами,возможен,небольшой дождь
16,Тишковец,предупреждает,о «черном вале грозовых облаков»
16,математические модели,фиксируют,"это опасное, хотя и скоротечное, явление"
16,два циклона,слиются,в единую барическую систему-долгожителя
16,Михаил Леус,сообщил,при переменной облачности в городе обойдется без дождей (лишь на востоке Ленинградской области возможны кратковременные осадки)
16,Александр Колесов,пояснил,"центр циклона сейчас находится над Прибалтикой и не будет подниматься к Финскому заливу, а к субботе сместится на юг к Минску"
16,МЧС,предупреждает,комплексе опасных явлений
16,столбики термометров,поднимутся,+35 градусов
16,сильные ливни,пройдут,с грозами и градом
16,жители Курганской области,готовятся,к огненному воздуху
16,погода,бьет,рекорды экстремальности
16,непогода,будет сопровождаться,порывами ветра до 20 м/с
17,Якуб Марковски,заработал,$465 000
17,Марковски,заработал,$465 000
17,Марковски,заработал,$465 000
17,Некоммерческая отраслевая группа Plumbing Foundation City of New York,подала жалобу,в департамент строительства
17,Исполнительный директор организации Эйприл МакАйвер,заявила,зданию
17,Марковски,отказался,от комментариев
18,В Турции,резко увеличилось число,"случаев мошенничества при бронировании отдыха, особенно при аренде бунгало"
18,мошенники,активизируются,в высокий сезон
18,фальшивые объявления,являются,схемой
18,число жалоб на мошенничество при аренде бунгало,выросло,на 114%
18,претензии к сетевым отелям,увеличилось,на 58%
18,миллениалы,празднуют день рождения за границей и выбирают Стамбул или Дубай,не указано
19,Велосезон-2026 в Москве,стал,рекордным по интенсивности проката
19,Суточный максимум поездок,достиг,48 500
19,Максимальный показатель,обновлялся,семь раз за этот сезон
19,Город,сообщал,56% россиян
19,56% россиян,считают,развитую велоинфраструктуру
19,нехватка мест,является,главной проблемой
20,Государственный Эрмитаж,начнет тестировать,новую систему регулирования потока посетителей с помощью гибких цен на билеты
20,новая система регулирования потока посетителей с помощью гибких цен на билеты,позволит перераспределить потоки и повысить,"безопасность посетителей, экспонатов и музейных пространств"
20,с 14 июля эта стоимость,сохранится,только для части вечерних сеансов
20,Эрмитаж,является,крупнейшим музейом России и одним из самых посещаемых художественных музеев мира
20,Эрмитаж,хранит,более 3 млн произведений искусства и памятников мировой культуры
20,Эрмитаж,размещается,в нескольких исторических зданиях в центре Санкт-Петербурга
21,Департамент информационных технологий (ДИТ) Москвы,опубликовал,регулярный дайджест «Тренды развития умных городов»
21,Эксперты,объяснили,законодательных инициативах в сфере IT
21,Проверить работу 6G,поручено,"научно-исследовательским центрам, вендорам, оборудованию, провайдерам мобильной связи"
21,одной из проблем цифровизации мегаполисов авторы «Трендов»,называют,потребности в большем количестве электроэнергии
21,"В Китае, к примеру",решили,сократить счета на коммуналку и построить подводный ЦОД
21,Правительство штата Вирджиния (США),отклонило,проект возведения ЦОДа
21,более 50% государственных услуг,будет оказываться,через интеллектуальных агентов
21,технологию,рассчитывают применять,"в госзакупках, налоговых проверках и т. д."
21,Монреаль,планирует внедрить,подобный трекинг для пешеходных дорожек
21,Система,фиксирует,время начала парковки и списывает оплату
21,Актау (Казахстан),запустили,мониторинг общественных пространств
21,Филадельфия (США),решили,отслеживать подтопления территорий
21,система,отправляет,SMS жителям
21,для создания цифровой копии объекта на маломерное судно,установили,лазерные радары (лидары)
21,Стимулировать сохранение природных ресурсов,взялись,в руководстве швейцарской коммуны Мури-бай-Берн (13 000 жителей)
21,Их,выдают,"гражданам за участие в «субботниках», в том числе в мероприятиях по восстановлению лесов, очистке водоемов, вырубке сорной растительности, особенно чужеродной, объявленной карантинной и угрожающей местной флоре"
21,Эта виртуальная валюта,имеет курс,1:1 к швейцарскому франку
21,участникам экологических мероприятий,приходилось пользоваться,бумажными сертификатами
21,Маскот в виде 3D-аватара,предоставляет,"информацию о мероприятиях, мерах поддержки и новостях мэрии города"
21,Персонаж,работает,на портале города Пусана
21,Он,функционирует,на базе большой языковой модели GPT-5.2 с функцией нейропоиска
22,Дешевле всего этим летом можно отдохнуть,можно отдохнуть,"в Барнауле, Кемерово, Астрахани и Сургуте"
22,Также в десятку наиболее бюджетных направлений входят,входят,"Томск, Иркутск, Омск, Вологда, Челябинск и Саратов"
22,Самый низкий средний чек за еду по этим направлениям,– в,Вологде и Астрахани
22,на человека,за один прием пищи,не указано
22,питание,обойдется,в Пскове
22,средний чек за ночь,высокий,в Петропавловске-Камчатском
22,средний чек за ночь,низкий,в Южно-Сахалинске
23,жители города Хэнчжоу,в панике,не указано
23,вольеры фермы,разрушили,вольеры
23,спасательные отряды,для поиска,сбежавших змей
23,Трагедия,усугубляется,масштабом стихийного бедствия
23,39 человек,погибли,в результате наводнений в регионе Гуанси
23,Девять человек,числятся пропавшими без вести,
24,Мухаммад Усман,наткнулся на,гнездо «черных вдов»
24,«черные вдовы»,не являются,местным видом для ОАЭ
24,Усман,поделился фотографиями,в местном чате
24,Сам мужчина,выступает против,уничтожения животных
24,Дубайский муниципалитет,призвал,жителей не рисковать и вызывать специалистов
24,Необходимо сообщить,сообщить,свой десятизначный номер локации (Makani)
25,Имущественный комплекс,выставлен,на аукцион
25,Торги,пройдут,в формате запечатанных в конвертах предложений
25,Заведение Сандерс,открыл,после продажи KFC в 1964 г. за $2 млн
25,Вместе с недвижимостью покупатель,получит,действующий ресторанный бизнес с сувенирным магазином и профессиональной кухней и права на интеллектуальную собственность и товарные знаки
25,архив артефактов,включает в себя,"рукописные рецепты, деловые документы, фотографии и личные вещи Сандерса"
25,Ресторан Claudia Sanders Dinner House,продолжает,работу в обычном режиме
25,Сандерс,прожил,в скромном бунгало последние 15 лет своей жизни
26,Как выглядел дачный отдых,выглядел,с велосипедом в эпоху Серебряного века
26,пройдет массовый танцевальный марафон,пройдет,массовый танцевальный марафон
26,стул,сложнее,небоскреба
26,Андреев,снимал дачу,семь лет подряд
26,местные реалии,вошли в рассказ,рассказ «Петька на даче»
26,Леонид Андреев,был страстным пионером,цветной фотографии
26,Архитектор Мис ван дер Роэ,называл,стул очень сложным предметом
26,выставка,показывает,"что менялись наши представления о красоте, комфорте и повседневной жизни"
26,Виктор Борисов-Мусатов,показывает,что ассоциируется с Серебряным веком и символизмом
26,Специальный раздел,посвящен,эскизам монументальных росписей
26,В экспозиции,представлено,более 140 произведений
26,В основе,находятся,20 редких экспонатов
26,"Илья Демуцкий, Юрий Посохов и новая жизнь чеховской пьесы",покажут,балет «Чайка» на музыку Ильи Демуцкого в хореографии Юрия Посохова
26,многие хореографы,обращались,к чеховской пьесе
26,Посохов,вынашивал идею,собственной «Чайки»
26,Режиссер,называет,текст Гете драматургией
26,история доктора,является,историей доктора
26,Спектакль,проникает,область
26,Кураторы,предлагают отказаться,восприятие нечеловеческих существ
26,Чилийская лента «Парк „Лос Рейес»»,рассказывает,о скейт-парке в Сантьяго от лица двух бездомных собак
26,Картина «Корова» Андреа Арнольда,фиксирует,повседневность животного внутри молочной фермы
26,"Максим Матвеев, Дарья Мороз, Александра Ребенок, Константин Хабенский, Александр Цыпкин, Дмитрий Чеботарев и Катерина Шпица",выступят,на главной сцене и в пространствах арт-кластера
26,Егор Крид,состоится,сольный концерт 11 июля в спортивном комплексе «Лужники»
26,Организаторы,делают ставку на,"сложную сценографию, световую партитуру мирового стандарта и проработанный живой звук"
26,самые музыканты,называют,своим творчеством
26,Цыганов,делится,"размышлениями о любви, мире и человеке"
26,площадка,объединит,четыре тематические сцены и представит десятки хореографических направлений
27,Город будущего в России,будет построен,"на большей, чем сейчас, интеграции архитектуры в природу"
27,многочисленные малые реки,будут раскрыты,в ранее заключенные в трубы
27,овраги,будут расчищены,превратятся в ландшафтные парки
27,Системы ЖКХ,"будут модернизированы, станут",более гибкими
27,Россия,перестанут отключать,горячую воду
27,Россия,перестанут отключать,горячую воду
27,Русская деревня,будет постепенно возрождаться,"силами энтузиастов, покинувших мегаполисы"
27,Появится много новых крестьян и новых ремесленников,появится,новых крестьян и новых ремесленников
27,"Любое здание, построенное до 1991 г.",будет вызывать,живейший интерес
27,молодые поколения,стремятся,собственности и легче меняют место жительства
27,город,изменится,на уровне повседневной жизни
27,модель,утечает,постепенно
27,"То, что сегодня кажется сложной поездкой",станет,такой же привычной частью жизни
27,алгоритмы,будут все активнее сопровождать,повседневную жизнь
27,"спонтанные встречи, разговоры во дворе, знакомства в парке или кафе",могут оказаться,"тем, чего в будущем будет не хватать сильнее всего"
27,Щусева,очень хочется верить,что города будущего будут наполнены смыслом и будут дружелюбны по отношению к людям
27,город,сохраниться,гуманистической средой
27,среда,формироваться,под влиянием разных факторов
27,"Нина Курышева, архитектор, преподаватель МАРХИ",говорит,будущее городов и архитектуры не ограничится Землей
27,сооружения ХХ столетия,являются,"такими же свидетельствами своего времени, как более ранние памятники"
27,привычные принципы архитектуры,изменятся,на Луне
27,Слабая гравитация и новые строительные технологии,позволят создавать,объемно-пространственные решения
27,их,появятся,места для повседневной жизни
28,Культурная жизнь в России,развивается,за пределами столиц
28,"Новые фестивали, выставочные проекты и культурные пространства",появляются,в региональных городах
28,более 60% организаций креативного сектора,работают,вне Москвы и Санкт-Петербурга
28,Международная биеннале экологического искусства,стало,одним из самых масштабных событий прошлого года
28,филиал Пушкинского музея – «Арсенал»,работает,в Нижнем Новгороде
28,"Нижегородская художественная галерея, галереи «9Б», «Футура» и студия «Тихая»",заслуживают,внимания
28,Фонд MaxArt,развивает,программу художественных резиденций
28,Активная жизнь,сейчас,"в регионах Поволжья: Казани, Самаре, Уфе"
28,Набережные Челны,появилась,институция «Дебаркадер 30»
28,Ярмарка «Скан»,запустила,интересный процесс
28,ярмарка,привлекла,attention профессионалов
28,Воронеж,является,важной точкой на карте современного российского искусства
28,фонд,сформировалась,полноценная культурная инфраструктура
28,иные инициативы,сформировались,в городе
28,фестиваля,было создано,более ста объектов паблик-арта
28,тележурналистом Андреем Малаховым (известным также как коллекционер и меценат),создан,проект
28,деятельность центра,стало,импульсом для государственного участия
28,Библиотека им. Ларисы Гладиной,стал первой площадкой,ЦСИ
28,Поддержка современного искусства,делает,регион привлекательным для туристов местом
28,Музей «Арсенал»,развивается при поддержке,Министерства культуры РФ и Государственного музея изобразительных искусств имени А.С. Пушкина
28,Дмитрию Володину и Майе Ковальски,основал,ярмарку графики «Контур»
28,"Благодаря участию «Лукойла», «Новатэка» и «Сибур холдинга»",были созданы,«Пакгаузы на Стрелке»
28,выставка работ художника Эрика Булатова,состоялась,в 2024 г.
28,"Эта площадка, как и «Арсенал»",стало,важной точкой культурного туризма и примером преобразования индустриального наследия средствами культуры
28,Эта стереотипная оболочка,отталкивает,широкую аудиторию
28,Система популяризации и просвещения,формируется,сегодня
28,Задача локальных культурных институций,создавать,"доступные, инклюзивные и просветительские инициативы"
28,Важно,быть,изолированным островком
28,художники,иметь возможность,жить и работать в регионах
28,у других жителей,есть,свои волнующие темы и интересы
29,россияне,стали активнее готовиться,к отпускам
29,продажи чемоданов,увеличились,на 33%
29,рост продаж чемоданов,составил,70%
29,самым быстрорастущим направлением лета,стал,Пекин
29,бронирования на лето,превысили,прошлогодние показатели
29,спрос,вырос,на Владивосток (+3000) и Калининград (+2000 год к году)
30,завтрак,вышел из категории,утренней необходимости
30,привычка,перестала быть,редкой
30,Компании «Московский завтрак»,присоединились,350 ресторанов
30,268 новых точек стрит-ритейла,открылось,в центральных улицах Москвы в первом полугодии 2025 года
30,100 заведений общепита,из них,заведений общепита
30,и особенно в 2010-х гг. город,оброс,"кофейнями, пекарнями и небольшими кафе"
30,Завтрак,перестал быть и превратился в,гостиничной историей или чистой функцией и отдельный повод выйти в город
30,отдельный повод,выйти,в город
30,необычность,стало,важна
30,почти каждому месту,нужно,чем-то отличаться
30,Кто-то,делает,ставку на ностальгию и готовит домашнюю еду
31,Москва,позволяет жить,без автомобиля
31,одни квартала,сбораются,в пределах короткой прогулки
31,простой бытовой маршрут,превращается,в цепочку пересадок и длинных обходов
31,при этом,важна,"формальная близость станции на карте, а качество маршрута до нее"
31,семь минут,ощущаются,того же семь минут
31,насыщенность повседневной инфраструктурой,является,признаком
31,хороший район без машины,предлагает,выбор маршрутов
31,выбор маршрутов,предлагает,короткие интервалы
31,комфорт жизни,зависит,число сценариев
31,Центр,имеет дополнительное преимущество,избыточность маршрутов
31,районы,выигрывают за счет,транспортной связности
31,Центральные районы,"дороже, шумнее и плотнее",
31,В Даниловском,работает,"связка метро, трамвая и МЦК"
31,Савеловский и Хорошевский,выигрывают от близости,к нескольким крупным узлам
31,современные кварталы,делают ставку на,концепцию «все рядом»
31,Районы,может быть,сложнее
31,Районы,связаны,с устройством городской среды
31,Районы,связаны,с устройством городской среды
31,дом,стоит,в жилом массиве с длинными кварталами и редким стрит-ритейлом
31,даже простые бытовые задачи,складываются,в неудобную цепочку
31,в районе все держится на одной станции метро или на автобусе до ближайшего узла,держится,на одной станции метро или на автобусе до ближайшего узла
31,район,вряд ли окажется удобным для жизни,без автомобиля
31,отдельно,стоит смотреть,на качество пути к ним
31,режим,стоит протестировать,в разное время суток
31,обычный будничный пеший маршрут,показывает,подходит ли вам этот район
32,самка дальневосточного леопарда,зарегистрирована,впервые за всю историю
32,Грация,по имени,самая плодовитая хищница
32,Грация,принесла,10 котят из пяти выводков
32,ученые,отслеживают,котят с полуторамесячного возраста
32,500 скрытых лесных камер,позволяют ученым отслеживать,котят с полуторамесячного возраста
32,Тимофея,появились,три потенциальные невесты
33,Наблюдаемый в Московском регионе спад численности комаров,носит,временный характер
33,столицу,может накрыть,настоящая «буря» кровососущих насекомых
33,популяция комаров в регионе,демонстриет снижение,по сравнению с аналогичным периодом 2025 г.
33,"Инттенсивные, но скоротечные ливни",не обеспечили,формирования устойчивых временных водоемов
33,Влага,испарялась или поглощалась,пересохшей почвой
33,"основные репродуктивные площадки (лужи, бочки, временные водоемы)",пересыхали,быстрее
34,Валерий Леонтьев,тратит,"почти $100 000 (около 7,7 млн руб.) на страхование своего дома в Майами"
34,Telegram-канал Shot,сообщает,собственные данные
34,Леонтьев,оформил,несколько страховых полисов
34,Государственная программа страхования от наводнений в США,покрывает,усыщерва
34,дополнительные риски,приходится страховать,отдельно
34,Камиллой Паркер-Боулз,состоялась,встреча с Камиллой Паркер-Боулз
35,Режиссер Сергей Урсуляк,начал работу над,многосерийным фильмом по роману Льва Толстого «Война и мир»
35,Это первая отечественная экранизация,была,"после киноэпоса Сергея Бондарчука, выпущенного более 60 лет назад"
35,"У нас, как всегда",будут работать,"молодых артистов, которые будут работать вместе с известными профессионалами"
35,Сергей Урсуляк,является,режиссером
35,режиссер,экранизирует,русские романы
35,Сергей Урсуляк,является,Лауреатом главных кинопремий
35,в России вышли первые фильмы,вышли,в одном из них князя Андрея сыграл знаменитый Иван Мозжухин
35,князя Андрея,сыграл,знаменитый Иван Мозжухин
35,из зарубежных постановок выделяется голливудская версия Кинга Видора (1956 г.),выделяется,с Одри Хепберн и Генри Фондой в главных ролях
36,Александр Овечкин,заключил,мировое соглашение
36,сосед,залил,квартиру
36,Александр Овечкин,приобрел,квартиру
36,Овечкин,не мог присутствовать,на слушаниях — переносили заседания
36,Овечкин,подключался по видеосвязи,заседания переносили
36,суд,прекратил,производство по делу
37,Россияне,обязаны предъявлять,бумажный паспорт или свидетельство о рождении
37,Цифровой ID,формируется,в профиле пользователя
37,Функция,доступна,"только в тех отелях, которые уже подключили соответствующую опцию"
37,Пилотный проект,работал,"в двух десятках отелей Москвы, Петербурга, Сочи и Татарстана"
37,функцию,планируют внедрить,в нескольких тысячах гостиниц
38,Власти Варенны,ввели штрафы,до 200 евро за появление на улицах без рубашки или в купальниках
38,Власти Варенны,заявили,что новые правила – это реакция на наплыв туристов
38,Власти Варенны,ввели ограничения,для тургрупп – не более 25 человек
38,один из них,напомнил,"на пляже делайте что хотите, но когда вы заходите в магазины, рестораны, церкви, вы должны одеваться прилично"
38,газета,отмечает,"похожие меры ввели и в других популярных местах Италии: в Сорренто штрафуют за «непристойное поведение» в купальниках, а в Портофино запретили селфи и создали «зоны ожидания» для туристов"
38,Власти,намерены,разгрузить дороги в пиковые месяцы – путешественникам предлагают оставлять машины на перехватывающих парковках и пользоваться общественным транспортом
39,Рынок жилой недвижимости в России,продолжает,состояние неопределенности
39,темпы роста цен на новостройки,замедляются,пятый месяц подряд
39,стоимость квадратного метра на первичном рынке,выросла,"на 0,3%"
39,государство,может,значительно измениться
39,Эльвира Набиуллина,заявила,условия программы сохранятся без изменений
39,аналитики «Домклика»,отмечают,период разогрева первичного рынка завершился
39,Ксения Петрова,отмечает,что московский рынок недвижимости – самый зрелый и самый чувствительный к ставке и доходам населения
39,Региональные рынки,устроены,иначе
39,Региональные рынки,определяется,"реальной жилищной потребностью – большинство людей покупает квартиры , чтобы в них жить, а не для сохранения капитала"
39,Это,делает,региональные рынки более устойчивыми к спекулятивным колебаниям
39,по ее мнению,делает,региональные рынки более устойчивыми к спекулятивным колебаниям
39,Данченок,дополняет,что рынок вошел в фазу более осторожного спроса
39,Данченок,обращает внимание,ключевой парадокс Москвы
39,средняя цена квадратного метра в новостройках в старых границах Москвы,достигла,около 653 000 руб.
39,Ксения Петрова,констатирует,что на сегодняшний день изменений в параметрах семейной ипотеки нет
39,весь рынок,следит,дискуссию о возможной корректировке
39,Доступность льготного финансирования,является,ключевым фактором
39,ключевые условия семейной ипотеки,сохраняются,без изменений как минимум до 1 октября 2026 г.
39,Людмила Любимова,говорит,спрос на новостройки снизится
39,эффект,будет мягче,за счет большего числа покупателей с собственным капиталом
39,в регионах,будет,"жестче, поскольку там семейная ипотека часто является главным способом покупки новостройки"
39,Повышение ставок для семей с одним ребенком,отсекут,большую часть молодых покупателей
