text_index,subject,predicate,object,subject_lemma,predicate_lemma,informative
2,небоскреб на Старой Басманной улице,ставится,прямо на линии классической московской переклички,небоскрёб на старый басманный улица,ставиться,True
2,современный модернизм,культивирует и эксплуатирует,дисгармонию и наследие для создания контрастов,современный модернизм,культивировать и эксплуатировать,True
2,старообрядческая церковь,создает,образ,старообрядческий церковь,создавать,True
2,модернизму,привычно вышибать,историческую среду,модернизм,привычно вышибать,True
2,в Петербурге,сложнее принимаются решения,о сносе исторических зданий,в петербург,сложный приниматься решение,True
2,стиль модерн,не находил места,на левом берегу Невы,стиль модерн,не находить место,True
2,город на левом берегу,эклектичен,в огромной степени,город на левый берег,эклектичный,True
2,город-модерн,возник,Петроградская сторона,город модерн,возникнуть,True
2,город,склеен,стена к стене,город,склеить,False
2,город,был,очень просторный,город,быть,False
2,условия,боролись,доходный дом,условие,бороться,True
2,усадебная структура,боролась,с доходной структурой,усадебный структура,бороться,True
2,усадебная структура,сохранила,господство,усадебный структура,сохранить,True
2,открытые пространства,riskуют,оказаться предметом агрессии,открытый пространство,riskуют,True
2,В Москве,идет борьба,за воздух,в москва,идти борьба,True
2,Москва,поменялась,радикально,москва,поменяться,True
2,Благоустройство,это,преходящее,благоустройство,это,True
2,небоскребы,замеряют уровень критики,на Старой Басманной,небоскрёб,замерять уровень критика,True
2,небоскребы,вызывают,сильную критику на Садовом кольце,небоскрёб,вызывать,True
2,у нас,есть,координационный совет градозащитных организаций России,у мы,есть,True
2,в него,входят,активные отделения ВООПИК,в он,входить,True
2,так и организации,вне,ВООПИКа,так и организация,вне,True
2,мы,собирали,съезды,мы,собирать,False
2,мы,выработали,законотворческую хартию,мы,выработать,False
2,федеральные проекты,есть,,федеральный проект,есть,True
2,проект «Консервация» центрального совета ВООПИК,включает,волонтерские работы,проект консервация центральный совет воопик,включать,True
2,волонтерские работы,включают,перекрытие кровли,волонтёрский работа,включать,True
2,охрана памятников,зависит от,широкости коалиции,охрана памятник,зависеть от,True
2,защита Шуховской башни,строится на,проверке экспертизы,защита шуховский башня,строиться на,True
2,РТРС,предложила,то же самое,ртрс,предложить,True
2,все,заступились,за башню,всё,заступиться,True
2,все,говорят,что башню сохранить можно,всё,говорить,True
2,ее,надо нагружать,не надо,она,надо нагружать,False
2,лифт,надо возвращать,не надо,лифт,надо возвращать,True
2,к этой башне,нужно отнестись,к монументу,к этот башня,нужно отнестись,True
2,монумент,использовать,не можно,монумент,использовать,True
2,он,стоит,не определено,он,стоить,False
2,голуби,садятся,на него,голубь,садиться,True
2,для этого,нужна,добрая воля,для это,нужный,True
2,это,называется,интересом неопределенного круга лиц,это,называться,False
2,пресс-релиз застройщика,говорит,что все расчудесно,пресс релиз застройщик,говорить,True
2,сохранить Электрозавод,можно,если сохранится интерес широкой общественности,сохранить электрозавод,можно,True
3,температура,был зафиксирован,рекорд,температура,быть зафиксировать,True
3,столбики термометров,поднялись,"+40,7 градуса",столбик термометр,подняться,True
3,температура,достигала,+ 44 градуса,температура,достигать,True
3,рекордная жара,овладила,Западную Европу,рекордный жара,овладить,True
3,июньская жара,стала,самой суровой за всю историю наблюдений,июньский жара,стать,True
3,аналогичное событие,было бы холоднее,на два градуса,аналогичный событие,быть бы холодный,True
3,метеорологи,ожидают,сегодня и завтра станут самыми жаркими днями,метеоролог,ожидать,True
3,национальный энергосистемный оператор,предупредил,о возможных перебоях с электроснабжением,национальный энергосистемный оператор,предупредить,True
3,служба скорой помощи юго-запада Англии,призвала,жителей проверять пожилых родственников и соседей старше 65 лет,служба скорый помощь юго запад англия,призвать,True
4,88% семей в России,объединяют,финансы,88% семья в россия,объединять,True
4,большинство,выбирают,смешанную модель,большинство,выбирать,True
4,88% семей,объединяют,бюджет,88% семья,объединять,True
4,48%,выбирают,смешанную модель,48%,выбирать,True
4,83%,считают,из общего бюджета должны оплачиваться образование детей,83%,считать,True
4,80% россиян,знают,возможностях семейного банкинга,80% россиянин,знать,True
4,каждый пятый,пользуется,такими сервисами,каждый пятый,пользоваться,True
4,самые популярные инструменты,–,регулярные переводы между близкими,самый популярный инструмент,,True
4,87% родителей,обсуждают,денежные вопросы,87% родитель,обсуждать,True
4,это,делают,в 38% семей,это,делать,False
4,системный диалог,выстроен,в Москве,системный диалог,выстроить,True
4,системный диалог,выстроен,на Северном Кавказе,системный диалог,выстроить,True
4,четверть российских родителей,платят,детям за отказ от соцсетей,четверть российский родитель,платить,True
4,половина,готова рассмотреть,такую возможность,половина,готовый рассмотреть,True
4,самыми желанными подарками,называют,"машина, путешествия и украшения",самый желанный подарок,называть,True
5,Копенгаген,признан,самым комфортным городом мира,копенгаген,признать,True
5,Столица Дании,набрала,98 баллов из 100,столица дания,набрать,True
5,Вена,заняла,второе место,вена,занять,True
5,Мельбурн,занял,третье место,мельбурн,занять,True
5,Все города первой десятки,имеют,максимальные баллы за образование,всё город первый десятка,иметь,True
5,категория стабильности,снизилась,"в среднем на 0,5 пункта",категория стабильность,снизиться,True
5,средний балл 58 азиатских городов,вырос,"на 0,3 пункта до 73,9",средний балл 58 азиатский город,вырасти,True
5,Фучжоу,поднялся,на семь мест,фучжоу,подняться,True
5,культура и окружающая среда в Китае,остаются,слабыми,культура и окружающий среда в китай,оставаться,True
5,Нью-Йорк,увеличивший балл и поднявшийся,на три строчки,нью йорк,увеличить балл и подняться,True
5,это,является результатом,снижения преступности и террористических угроз,это,являться результат,False
5,Лиссабон,улучшил показатель,благодаря прогрессу в здравоохранении,лиссабон,улучшить показатель,True
5,Токио,улучшил показатель,благодаря прогрессу в культуре и окружающей среде,токио,улучшить показатель,True
5,Ближний Восток и Северная Африка (MENA),потерявшие,в среднем один полный балл,ближний восток и северный африка mena,потерять,True
5,Тегеран,"вошел в десятку худших городов, заняв",164-е место с 45 баллами,тегеран,войти в десятка плохой город занять,True
5,Западная Европа,остается,самым комфортным регионом,западный европа,оставаться,True
5,Северная Америка,находится,на втором месте,северный америка,находиться,True
5,Латинская Америка,показала,незначительное снижение,латинский америка,показать,True
5,Дамаск (Сирия),является,последнее место с 32 баллами,дамаск сирия,являться,True
5,"Триполи (Ливия), Дакка (Бангладеш), Карачи (Пакистан), Алжир, Лагос, Порт-Морсби, Киев, Хараре и Тегеран",страдают,"войн, нищеты или политической нестабильности",триполи ливия дакка бангладеш карачи пакистан алжир лагос порт морсби киев хараре и тегеран,страдать,True
5,Дамаск,улучшил,медицинские показатели,дамаск,улучшить,True
5,Каракас (Венесуэла),покинул,«красную зону»,каракас венесуэла,покинуть,True
5,рейтинг самых дорогих городов для состоятельных людей,возглавил,Сингапур,рейтинг самый дорогой город для состоятельный человек,возглавить,True
6,58% россиян,считают,квартиру,58% россиянин,считать,True
6,две трети респондентов,назвали,наличие собственного жилья,два треть респондент,назвать,True
6,70% респондентов,направили бы,на первоначальный взнос по ипотеке,70% респондент,направить бы,True
6,все участники исследования,поддержали,идею замены традиционных подарков на помощь в сборе средств для покупки первого жилья,всё участник исследование,поддержать,True
6,результаты исследования,подтверждают,тренд на практичность,результат исследование,подтверждать,True
6,собственные квадратные метры,становятся,гарантией стабильности и благополучия для молодых супругов,собственный квадратный метр,становиться,True
6,88% российских семей,объединяют,финансы,88% российский семья,объединять,True
6,большинство,выбирают,смешанную модель с общим бюджетом на совместные цели и личными деньгами у каждого,большинство,выбирать,True
7,Британская певица Бонни Тайлер,умерла,9 июля в возрасте 75 лет,британский певица бонний тайлера,умереть,True
7,Тайлер,провела,в больнице в Португалии,тайлера,провести,True
7,Тайлер,проходила лечение,после экстренной операции,тайлера,проходить лечение,True
7,Тайлер,записала,18 студийных альбомов,тайлера,записать,True
7,Тайлер,номинировалась,трижды на «Грэмми»,тайлера,номинироваться,True
7,Тайлер,представляла,Великобританию на «Евровидении»,тайлера,представлять,True
7,Тайлер,получила,орден Британской империи,тайлера,получить,True
7,Тайлер,вошла в историю мировой музыки,благодаря двум песням,тайлера,войти в история мировой музыка,True
7,голос Гейнор Хопкинс,мог закончиться,"еще до того, как началась",голос гейнора хопкинс,мочь закончиться,True
7,у молодой исполнительницы,обнаружили узелки на голосовых связках,в середине 1970-х гг.,у молодой исполнительница,обнаружить узелок на голосовой связка,True
7,врачи,запретили разговаривать,несколько недель,врач,запретить разговаривать,True
7,она,начала говорить,раньше времени,она,начало говорить,False
7,голос,изменился,навсегда,голос,измениться,True
7,голос Тайлер,не могло быть спутано,ни с одним другим,голос тайлера,не мочь быть спутать,True
7,она,выросла,в маленьком городе Скуэн,она,вырасти,False
7,ее сценическое имя,появилось,почти случайно,она сценический имя,появиться,True
7,певица,купила,газету,певица,купить,True
7,она,вспоминала,это было отличное решение,она,вспоминать,False
7,сингл,вошел,в первую пятерку британского чарта,сингл,войти,True
7,сингл,поднялся,на третью строчку американского Billboard Hot 100,сингл,подняться,True
7,песне,требовался,сильный припев и запоминающийся визуальный образ,песня,требоваться,True
7,Стайнман,говорил,"исполнитель, способный «выдержать» музыку",стайнман,говорить,True
7,альбом Faster Than the Speed of Night,стал,"первой работой женщины-исполнительницы, занявшей первое место в британском альбомном чарте",альбом faster than the speed of night,стать,True
7,это,стало,"важным событием для индустрии, в которой вершину рейтингов тогда почти безраздельно занимали мужские рок-группы",это,стать,False
7,Стайнман,говорил,композицию как «вагнеровский натиск звука и эмоций»,стайнман,говорить,True
7,Стайнман,писал,"произведение, которое должно было раскрыть голос Тайлер",стайнман,писать,True
7,неизвестные участники,отказались,постановки в итоге,неизвестный участник,отказаться,True
7,Малкэхи,превратил,песню в полноценный визуальный спектакль,малкэха,превратить,True
7,песня,возглавила,"чарты Великобритании, США, Канады, Австралии и еще нескольких стран",песня,возглавить,True
7,песня,получила,номинацию на премию «Грэмми»,песня,получить,True
7,песня,стало,одной из самых продаваемых записей десятилетия,песня,стать,True
7,Holding Out for a Hero,прозвучала,в фильме Footloose («Свободные»),holding out for a hero,прозвучать,True
7,Holding Out for a Hero,вошла,в число самых узнаваемых песен 1980-х гг.,holding out for a hero,войти,True
7,Shrek 2 («Шрек 2»),привел к попаданию,песни в чарты,shrek 2 шрека 2,привести к попадание,True
7,песня,превратилась,"в один из самых востребованных саундтреков в кино, рекламе и видеоиграх",песня,превратиться,True
7,успех песни,оказался,"куда более долгим, чем она могла предположить в середине 1980-х гг.",успех песня,оказаться,True
7,музыкальная мода,изменилась,"на радио все чаще звучали синти-поп и танцевальная музыка, а масштабные рок-баллады, с которыми ассоциировалась Тайлер, постепенно ушли с первых строчек хит-парадов",музыкальный мода,измениться,True
7,интерес к певице,ослабевал,,интерес к певица,ослабевать,True
7,она,собирала,многотысячные площадки,она,собирать,False
7,Тайлер,записывала,альбомы с немецким продюсером Дитером Боленом,тайлера,записывать,True
7,певица,представляла,Великобританию на конкурсе «Евровидение» с песней Believe in Me,певица,представлять,True
7,последующие годы,воспринимались,признание ее статуса,последующий год,восприниматься,True
7,певица,относилась спокойно,переменам в собственной карьере,певица,относиться спокойно,True
7,певица,признавалась,что никогда не ставила успех в чартах самоцелью,певица,признаваться,True
7,Total Eclipse of the Heart,живет,собственной жизнью,total eclipse of the heart,жить,True
7,песня,превратилась,в культурный символ,песня,превратиться,True
7,песня,узнают,"даже те, кто не сразу вспоминает ее имя",песня,узнавать,True
7,поп-музыка,реагирует,на смену моды,поп музыка,реагировать,True
7,хиты,остаются,частью своего десятилетия,хит,оставаться,True
7,песням,удается выйти,за эти рамки,песня,удаваться выйти,True
7,песни,были,по-настоящему новой музыкой,песня,быть,True
8,специалисты,выпустили,трех детенышей серого тюlena,специалист,выпустить,True
8,специалисты,приняли,десять ослабленных детенышей серого тюlena,специалист,принять,True
8,горожане и туристы,находили и сообщали,ослабленных детенышей,горожанин и турист,находить и сообщать,True
8,Кира и ее младший брат,заметили,тюлененку Майю,кира и она младший брат,заметить,True
8,тюленятам,помогают,набрать вес,тюленёнок,помогать,True
8,тюленятам,помогают,перейти на самостоятельное питание,тюленёнок,помогать,True
8,тюленятам,помогают,сформировать запас подкожного жира,тюленёнок,помогать,True
8,специалисты,убеждаются,что животное уверенно плавает,специалист,убеждаться,True
8,специалисты,убеждаются,что животное способно конкурировать за рыбу,специалист,убеждаться,True
8,специалисты,убеждаются,что животное сохраняет естественную осторожность по отношению к человеку,специалист,убеждаться,True
8,мы,оцениваем,поведение животного,мы,оценивать,False
8,куратор «Сердца морей» Ирина Мейнцер,сказала,о выпуске тюленей,куратор сердце море ирина мейнцер,сказать,True
8,каждый тюлень,был отмечен,специальной биркой,каждый тюлень,быть отметить,True
9,особняк Ормли-Лодж,продается,за 25 млн фунтов,особняк ормля лодж,продаваться,True
9,принцесса Диана,проводила,в особняке Ормли-Лодж,принцесса диана,проводить,True
9,в поместье,состоялась,ее знаменитая встреча с Камиллой Паркер-Боулз,в поместье,состояться,True
9,леди Аннабель Голдсмит,приобрела,поместье,леди аннабель голдсмит,приобрести,True
9,"знаменитости, журналисты, политики и члены королевской семьи",собирались,здесь,знаменитость журналист политика и член королевский семья,собираться,True
9,Леди Голдсмит,называла себя,«материнской фигурой»,леди голдсмит,называть себя,True
9,принцессы Дианы,приезжала,в Ормли-Лодж,принцесса диана,приезжать,True
9,Семья Голдсмит,"заявила, что надеется передать",дом,семья голдсмит,заявить что надеяться передать,True
9,агентства Knight Frank и UK Sotheby's International Realty,курят,продажу,агентство knight frank и uk sotheby s international realty,курить,True
9,каменная усадьба Лансдаун 1771 года постройки,выставлена,на продажу,каменный усадьба лансдаун 1771 год постройка,выставить,True
9,соглашение,было подписано,в особняке,соглашение,быть подписать,True
10,Ахмед Тигани,заявил,что здание стабильно,ахмед тиганя,заявить,True
10,пожарный комиссар Джон Эспозито,подтвердил,что с момента прибытия служб фиксируется «постоянное движение» конструкций,пожарный комиссар джон эспозитый,подтвердить,True
10,разработчик проекта реновации MetroLoft,назвал,произошедшее «типичным строительным инцидентом»,разработчик проект реновация metroloft,назвать,True
10,Основатель компании Нейтан Берман,стало известно,две колонны у северо-западного угла башни прогнулись под весом надстраиваемых этажей,основатель компания нейтан берман,стать известно,True
10,мэр Нью-Йорка Зохран Мамдани,назвал,ситуацию «крайне серьезной»,мэр нью йорк зохрана мамдань,назвать,True
10,здания,получало,штрафы на сумму более $32 500 в 2025 г. за нарушения техники безопасности,здание,получать,True
10,проект,называют,крупнейшей в истории Нью-Йорка конверсией офисов в жилье,проект,называть,True
10,департамент строительства,проводил,"проверки на объекте в мае, дважды в апреле и один раз в марте",департамент строительство,проводить,True
10,власти,связали,инцидент с последствиями изменения климата и ускоренной трансформацией береговой линии,власть,связать,True
11,спрос на электромобили,вырос,"в тот момент, когда поставки практически остановились",спрос на электромобиль,вырасти,True
11,спрос на электромобили и гибриды,вырос,на 15–20% по сравнению с прошлым годом,спрос на электромобиль и гибрид,вырасти,True
11,число запросов на доступные китайские модели,увеличилось,более чем на 30%,число запрос на доступный китайский модель,увеличиться,True
11,спрос,вырос,"тогда, когда импортный канал закрылся",спрос,вырасти,True
11,очередь на популярные модели,растянулась,от трех до пяти месяцев,очередь на популярный модель,растянуться,True
11,запасы гибридов,выросли,втрое с января,запас гибрид,вырасти,True
11,эксплуатация электромобилей,обходится,"на 60–70% дешевле, чем аналогичных бензиновых внедорожников",эксплуатация электромобиль,обходиться,True
11,цены на новые электромобили,выросли,на 10–15% из-за увеличения логистических расходов и страховых премий,цена на новый электромобиль,вырасти,True
11,цены на подержанные бензиновые автомобили,упали,примерно на 15% с начала года,цена на подержать бензиновый автомобиль,упасть,True
11,дефицит,формирует,ценовую политику,дефицит,формировать,True
11,глобальные продажи легковых «электричек»,выросли,на 20%,глобальный продажа легковой электричка,вырасти,True
11,продажи легковых «электричек»,упали,на 30%,продажа легковой электричка,упасть,True
12,34-летний местный житель,подозревается в,"уничтожении исторического здания – Дома Ропса на Петровской косе, 9",34 летний местный житель,подозреваться в,True
12,деревянный памятник архитектуры регионального значения,выгорел,днем 6 июля,деревянный памятник архитектура региональный значение,выгореть,True
12,мужчина в нетрезвом состоянии,"проник в здание, закурил и уснул",в здание,мужчина в нетрезвый состояние,проникнуть в здание закурить и уснуть,True
12,мужчина,заявил,что умысла на поджог не было,мужчина,заявить,True
12,Дом Ропса,был,одним из немногих сохранившихся деревянных памятников в центре города,дом ропёс,быть,True
12,его,включили,в перечень выявленных объектов культурного наследия,он,включить,False
12,его,выделяли,10 млн руб. на проектирование ремонта,он,выделять,False
12,для здания,утвердили,предмет охраны,для здание,утвердить,True
13,местный совет округа Далваллину,выставил на продажу,здания бывшего зала Женской сельскохозяйственной ассоциации,местный совет округ далваллина,выставить на продажа,True
13,объект,находится,в трех часах езды к северу от Перта,объект,находиться,True
13,здания 1949 года постройки,включает,"бывшую кухню, один большой зал для собраний и уличный туалет",здание 1949 год постройка,включать,True
13,покупателям,предлагают,"не готовый для заселения дом, а «чистый лист»",покупатель,предлагать,True
13,запрашиваемая цена,составляет,чуть более $21 за квадратный метр,запрашивать цена,составлять,True
13,в самом Бантине,проживает,51 человек,в сам бантин,проживать,True
13,администрация округа,надеется привлечь,покупателя,администрация округ,надеяться привлечь,True
13,хижина,выставлена на продажу,200 000 фунтов,хижина,выставить на продажа,True
14,радиостанция «Серебряный дождь»,отметила,день рождения,радиостанция серебряный дождь,отметить,True
14,Праздник,прошел,под слоганом «100 и 1 процент лета»,праздник,пройти,True
14,диджей Артур Кулаков,играл,для гостей,диджей артур кулак,играть,True
14,ведущие радиостанции,провели,викторины об истории «Серебряного дождя»,ведущий радиостанция,провести,True
15,дом,состоит,из умения предугадывать потребности,дом,состоять,True
15,многодетная семья из десяти человек,жила,в доме,многодетный семья из десять человек,жить,True
15,90-летний Иэн Карр,рассказал,его родители купили это жилье,90 летний иэн карра,рассказать,True
15,его родители,купили,жилье у местного землевладельца Джимми Шенкса,он родитель,купить,True
15,владелец,стал,старшим братом Иэна,владелец,стать,True
15,владелец,превратил,участок в куриную ферму,владелец,превратить,True
15,Семья Карров,владела,недвижимостью до 2021 г.,семья карров,владеть,True
15,собственник,добавил,переносную бытовку и септик,собственник,добавить,True
15,водоснабжение,автономное,колодец и резервуар,водоснабжение,автономный,True
15,владение,станет,"скорее уединенным убежищем, чем изолированным хутором",владение,стать,True
15,"участка площадью чуть менее 0,3 га",достаточно,чтобы держать кур и пару овец,участок площадь чуть менее 0 3 га,достаточно,True
15,пляжную хижину,выставили на продажу,200 000 фунтов,пляжный хижина,выставить на продажа,True
15,выставили на продажу за 200 000 фунтов,вызвало возмущение,британцев,выставить на продажа за 200 000 фунт,вызвать возмущение,True
16,юг Сибири и Курганская область,задыхаются,от аномального зноя,юг сибирь и курганский область,задыхаться,True
16,синоптики,предупреждают,улучшения погоды,синоптик,предупреждать,True
16,сегодняшняя ситуация над Русской равниной,является,«предштормовая ситуация»,сегодняшний ситуация над русский равнина,являться,True
16,в Москве,ожидается,комфортная погода,в москва,ожидаться,True
16,Тишковец,предупреждает,«черном вале грозовых облаков»,тишковца,предупреждать,True
16,математические модели,фиксируют,это опасное явление,математический модель,фиксировать,True
16,ночью 12 июля в Москве и области,ожидается,«очень сильный дождь»,ночью 12 июль в москва и область,ожидаться,True
16,на Москву,обрушится,до 35 мм осадков,на москва,обрушиться,True
16,Михаил Леус,сообщил,обойдется без дождей,михаил леус,сообщить,True
16,температура воздуха в Петербурге,составит,+23…+25 градусов,температура воздух в петербург,составить,True
16,температура воздуха по области,составит,+21…+26 градусов,температура воздух по область,составить,True
16,Александр Колесов,объяснил,центра циклона сейчас находится над Прибалтикой,александр колесов,объяснить,True
16,восточные ветры,принесут,очень теплый воздух из Центрального района европейской территории России,восточный ветер,принести,True
16,В Гидрометцентре России,сообщили,в ближайшие трое суток сразу несколько федеральных округов окажутся во власти разрушительных непогод,в гидрометцентр россия,сообщить,True
16,МЧС,предупреждает,комплексе опасных явлений,мчс,предупреждать,True
16,столбики термометров,поднимутся,до экстремальных +35 градусов,столбик термометр,подняться,True
16,пройдут,пройдут,сильные ливни с грозами и градом,пройти,пройти,True
16,ветер,усилится,до 20–23 м/с,ветер,усилиться,True
16,объявлено штормовое предупреждение,объявлено,из-за «очень сильных» ливневых дождей и шквалистого ветра до 25 м/с,объявить штормовой предупреждение,объявить,True
16,аномальная жара,установилась,аномальная жара до +37 градусов,аномальный жара,установиться,True
16,дожди,пройдут,дожди с градом и ветром 16–21 м/с,дождь,пройти,True
16,погода,ожидается,«крупный град»,погода,ожидаться,True
16,погода,бьет,все рекорды экстремальности,погода,бить,True
16,непогода,будет сопровождаться,порывами ветра до 20 м/с,непогода,быть сопровождаться,True
17,его зарплата,оказалась выше,"у мэра Нью-Йорка Зохрана Мамдани, комиссара полиции и почти любого из 350 000 муниципальных служащих",он зарплата,оказаться выше,True
17,доход Марковски,сложился из,базовой зарплаты и рекордных 2560 часов сверхурочных,доход марковск,сложиться из,True
17,его деятельность,проверяет,департамент строительства Нью-Йорка,он деятельность,проверять,True
17,две принадлежащие Марковски частные компании,выполнили,более 70 проектов в престижных районах Манхэттена и Бруклина,два принадлежащий марковск частный компания,выполнить,True
17,представительница агентства Барбара Бранкаччо,утверждает,он не запросил новое разрешение,представительница агентство барбара бранкаччо,утверждать,True
17,некоммерческая отраслевая группа Plumbing Foundation City of New York,подала,жалобу,некоммерческий отраслевой группа plumbing foundation city of new york,подать,True
17,исполнительный директор Эйприл МакАйвер,заявила,"это расточительство, ставящее под вопрос целостность и безопасность работы NYCHA",исполнительный директор эйприл макайвера,заявить,True
18,число случаев мошенничества,увеличилось,число случаев мошенничества при бронировании отдыха,число случай мошенничество,увеличиться,True
18,мошенники,активизируются,в высокий сезон,мошенник,активизироваться,True
18,Беке,призвал,пользоваться только проверенными площадками и лицензированными туристическими компаниями,бек,призвать,True
18,число жалоб на мошенничество при аренде бунгало,выросло,на 114%,число жалоба на мошенничество при аренда бунгало,вырасти,True
18,претензии к сетевым отелям,увеличились,на 58%,претензия к сетевой отель,увеличиться,True
18,на мошенничество при аренде автомобилей,увеличились,на 46%,на мошенничество при аренда автомобиль,увеличиться,True
18,на сайты бронирования гостиниц,увеличились,на 45%,на сайт бронирование гостиница,увеличиться,True
18,на междугородние автобусные перевозки,увеличились,на 23%,на междугородний автобусный перевозка,увеличиться,True
19,суточный максимум поездок,достиг,48 500,суточный максимум поездка,достигнуть,True
19,пользователи,стало чаще брать,"велосипеды для поездок на работу, домой или по делам",пользователь,стать частый брать,True
19,показатель,вырос,до 85%,показатель,вырасти,True
19,меры,помогут минимизировать и повысить,нарушения и ответственность горожан,мера,помочь минимизировать и повысить,True
19,56% россиян,считают,развитую велоинфраструктуру важной при выборе жилья,56% россиянин,считать,True
20,Государственный Эрмитаж,начнет тестировать,новую систему регулирования потока посетителей с помощью гибких цен на билеты,государственный эрмитаж,начать тестировать,True
20,стоимость посещения,будет зависеть,от времени входа,стоимость посещение,быть зависеть,True
20,до 80% гостей,приходят,в Главный музейный комплекс с 11:00 до 16:00,до 80% гость,приходить,True
20,новая система,позволит перераспределить потоки и повысить безопасность,"посетителей, экспонатов и музейных пространств",новый система,позволить перераспределить поток и повысить безопасность,True
20,дневной билет,состоит,в 1200 руб.,дневный билет,состоять,True
